,category,sub_category,techs
0,Marketing,Public Relations,"['Outbrain' 'Cision' 'Meltwater' 'Critical Mention' 'pr.co' 'OutMarket'
 'BuzzStream' 'Brand24' 'Beevolve' 'Signal Media' 'Contactology'
 'News Exposure' 'Convincingemail']"
1,Marketing,Advocacy,"['EveryAction' 'Salsa Engage' 'Ambassador' 'AnswerHub' 'Phone2Action'
 'Dynamic Signal' 'Zuberance' 'SocialChorus' 'One Click Politics' 'Queue'
 'Crowdvocate']"
2,Marketing,Marketing Attribution,"['Looker' 'Bizible' 'ActiveDEMAND' 'Funnel' 'LeadsRx' 'Attribution'
 'Envoke' 'TapClicks' 'Callcap' 'DemandJump' 'Improvado']"
3,Marketing,Ad Fraud Detection,"['Integral Ad Science' 'Meetrics' 'DoubleVerify' 'PerimeterX Bot Defender'
 'GeoEdge' 'Fraudlogix' 'Improvely' 'Namogoo' 'Advanced Fraud Solutions'
 'Forensiq' 'Clickfrauds']"
4,Marketing,Mobile Ad Exchange,"['Unruly' 'adsquare' 'TapSense' 'Axonix' 'Vdopia' 'Inneractive' 'Clickky'
 'Avocarrot' 'MoPub' 'ClicksMob' 'AdView']"
5,Marketing,Social Login,"['Google Sign-In' 'LinkedIn Login' 'Twitter Sign-In' 'uLogin'
 'TradableBits' 'Login with Amazon' 'SocialAll']"
6,Marketing,Social Media Aggregator,"['Juicer' 'EmbedSocial' 'Curator.io' 'Candid' 'Spotlyte' 'Publing'
 'Social Board' 'Swizly' 'Social Wall' 'EmbedStories']"
7,Marketing,Retention Marketing,"['PushOwl' 'Braze (Formerly Appboy)' 'SocialShopWave' 'Como' 'Systeme'
 'MoEngage' 'Selligent' 'SatisMeter' 'Aimtell' 'Mobilize' 'Optimove'
 'Shipup' 'Bonjoro' 'Deluxe FI' 'Vidora' 'Push Monkey' 'Accengage'
 'Gleantap' 'Click2Mail' 'GroHawk' 'Preact' 'Inkit' 'PushBots' 'ZyloTech'
 'Spently' 'Adapti' 'HTK | Horizon Loyalty Hub' 'Appuri' 'FetchRev'
 'Uzeli' 'Clang' 'Triggmine' 'Remindee' 'Flaunt' 'MOV-ology' 'MaestroIQ']"
8,Marketing,Small Business Marketing,"['HubSpot Marketing Hub' 'Privy' 'CleverReach' 'SnapPages' 'Cyberimpact'
 'Locu' 'ThriveHive' 'Main Street Hub' 'EngageBay' 'LocalVox' 'SocialBee'
 'DTG' 'Scoop.it' 'ReachEdge' 'Pistn' 'Berry' 'Automational' 'Blitzen'
 'myPresences' 'Campayn' 'Kaufer DMC' 'Buzz360' 'Townsquared' 'Solomoto'
 'Zyprr' 'Izicap' 'Rainmaker' 'EmailCampaigns' 'Marketfox' 'Swiftpage'
 'Instaaa' 'BizConnector' 'MioDatos']"
9,Marketing,Copywriting And Content Writing Services,"['Firespring' 'INK For All' 'Written' 'Mendeley' 'Zotero' 'Scripted'
 'CrowdSource' 'Trint' 'Playlister' 'Persado' 'Compose.ly' 'Speechpad'
 'FatJoe' 'Foleon' 'Zerys' 'Audience Ops' 'BlogMutt' 'SproutWorth'
 'RightlyWritten' 'Inklyo' 'Conversion.ai' 'Essaybot' 'WittyPen'
 'Writesonic' ""Sorc'd"" 'iWriter' 'Ranking Articles' 'Rytr'
 'Branica Blogging Services' 'Jurnid' 'Memokitchen' 'EasyBib.com'
 'Linguix Business']"
